,origid_id_YKR_1,"CO2 emissions, gramms_1",origid_id_YKR_2,"CO2 emissions, gramms_2",absolute_change,percentage_change,CO2 kg emissions diff,geometry
0,714048.0,9259.01157111,714048.0,13516.429084590001,4257.417513480001,0.4598133916112611,4.257417513480001,"POLYGON ((24.692654585682305 60.110888184383754, 24.692497600681516 60.11313114081252, 24.696991408260274 60.11320942559442, 24.697148088195853 60.1109664621081, 24.692654585682305 60.110888184383754))"
1,714049.0,12651.470730372857,714049.0,16575.054986467145,3923.5842560942874,0.31012870674986365,3.9235842560942875,"POLYGON ((24.697148088195853 60.1109664621081, 24.696991408260274 60.11320942559442, 24.70148524067499 60.11328755791183, 24.70164161553982 60.11104458738168, 24.697148088195853 60.1109664621081))"
2,716750.0,9466.733712468571,716750.0,12829.606878595718,3362.8731661271468,0.35523056507842077,3.3628731661271467,"POLYGON ((24.70148524067499 60.11328755791183, 24.701328841022427 60.11553052743066, 24.70582300334938 60.11560851431306, 24.70597909787744 60.113365537763144, 24.70148524067499 60.11328755791183))"
3,719448.0,6680.586963780001,719448.0,10063.302763431431,3382.7157996514306,0.506350088396638,3.3827157996514305,"POLYGON ((24.692340590796547 60.11537409622805, 24.692183556021845 60.11761705063034, 24.696677973875698 60.11769534953018, 24.696834703488737 60.11545238806844, 24.692340590796547 60.11537409622805))"
4,719454.0,4620.03523031,719454.0,7837.770322960001,3217.735092650001,0.6964741462445719,3.2177350926500012,"POLYGON ((24.71930563860747 60.11584156006449, 24.7191504348857 60.11808455661785, 24.72364500109811 60.118161940541384, 24.72379989962511 60.11591893701085, 24.71930563860747 60.11584156006449))"
5,719455.0,8613.444665349998,719455.0,8215.924109849997,-397.52055550000114,-0.04615117075043615,-0.39752055550000115,"POLYGON ((24.72379989962511 60.11591893701085, 24.72364500109811 60.118161940541384, 24.72813959186806 60.11823917196302, 24.728294185194816 60.11599616146905, 24.72379989962511 60.11591893701085))"
6,722144.0,3834.8409347657152,722144.0,5408.23983942857,1573.3989046628549,0.4102905261073051,1.573398904662855,"POLYGON ((24.674206134041725 60.11730233014579, 24.674047853587776 60.1195452551559, 24.678542476758647 60.119624171121735, 24.67870045202498 60.11738123899632, 24.674206134041725 60.11730233014579))"
7,722145.0,13852.059280667143,722145.0,12709.802212911427,-1142.257067755716,-0.08246117379456541,-1.142257067755716,"POLYGON ((24.67870045202498 60.11738123899632, 24.678542476758647 60.119624171121735, 24.68303712497512 60.119702934588695, 24.683194795048244 60.11745999536171, 24.67870045202498 60.11738123899632))"
8,722146.0,8874.299954074286,722146.0,10643.830703104286,1769.5307490300002,0.19939947468392588,1.76953074903,"POLYGON ((24.683194795048244 60.11745999536171, 24.68303712497512 60.119702934588695, 24.687531798188935 60.119781545555135, 24.68768916306328 60.11753859924028, 24.683194795048244 60.11745999536171))"
9,722148.0,13216.086059368363,722148.0,15725.677808772543,2509.5917494041805,0.18988918036177813,2.5095917494041804,"POLYGON ((24.692183556021845 60.11761705063034, 24.69202649635185 60.11986000401932, 24.696521219415615 60.1199383099796, 24.696677973875698 60.11769534953018, 24.692183556021845 60.11761705063034))"
10,722149.0,22610.798753979998,722149.0,30086.551128621428,7475.75237464143,0.3306275225383417,7.47575237464143,"POLYGON ((24.696677973875698 60.11769534953018, 24.696521219415615 60.1199383099796, 24.701015967331966 60.1200164634343, 24.701172416576593 60.11777349593819, 24.696677973875698 60.11769534953018))"
11,722156.0,5101.373042624287,722156.0,5598.863130958572,497.49008833428434,0.09752082119412339,0.4974900883342843,"POLYGON ((24.72813959186806 60.11823917196302, 24.727984974032022 60.12048218145133, 24.732479894565245 60.120559267320125, 24.732634207147314 60.11831625088113, 24.72813959186806 60.11823917196302))"
12,724843.0,5950.725062127144,724843.0,9487.818705435717,3537.0936433085726,0.5943970871415465,3.5370936433085727,"POLYGON ((24.66955325551075 60.119466186692925, 24.669394644732687 60.121709103555915, 24.673889548039977 60.12178817914887, 24.674047853587776 60.1195452551559, 24.66955325551075 60.119466186692925))"
13,724844.0,7043.327862618571,724844.0,11518.182269417142,4474.854406798571,0.6353324016830459,4.474854406798571,"POLYGON ((24.674047853587776 60.1195452551559, 24.673889548039977 60.12178817914887, 24.678384476446716 60.12186710223097, 24.678542476758647 60.119624171121735, 24.674047853587776 60.1195452551559))"
14,724852.0,6550.810781784286,724852.0,7802.122196728571,1251.3114149442854,0.19101626602065552,1.2513114149442854,"POLYGON ((24.710005537529415 60.1201723128202, 24.709849674024472 60.12241529335912, 24.71434480148934 60.12249299629351, 24.714500359713995 60.12025000874806, 24.710005537529415 60.1201723128202))"
15,724853.0,19448.10001999,724853.0,25341.012065079998,5892.912045089997,0.3030070823902019,5.892912045089997,"POLYGON ((24.714500359713995 60.12025000874806, 24.71434480148934 60.12249299629351, 24.71883995361927 60.12257054670188, 24.718995206558134 60.12032755216364, 24.714500359713995 60.12025000874806))"
16,724854.0,5511.920159419999,724854.0,12222.775486819999,6710.8553274,1.217516787853139,6.7108553274,"POLYGON ((24.718995206558134 60.12032755216364, 24.71883995361927 60.12257054670188, 24.723335130365985 60.12264794458259, 24.723490078013562 60.120404943065296, 24.718995206558134 60.12032755216364))"
17,724855.0,3003.4332937199997,724855.0,5029.911216059999,2026.4779223399992,0.6747204695963263,2.0264779223399993,"POLYGON ((24.723490078013562 60.120404943065296, 24.723335130365985 60.12264794458259, 24.72783033168122 60.12272518993397, 24.727984974032022 60.12048218145133, 24.723490078013562 60.120404943065296))"
