,origid_id_YKR_1,Remote workers_1,index_YKR_1,_merge_1,origid_id_YKR_2,Remote workers_2,index_YKR_2,_merge_2,absolute_change,percentage_change,geometry
0,714048.0,1.5999999999999999,42335189,both,714048.0,2.6,42335189,both,1.0000000000000002,0.6250000000000002,"POLYGON ((24.692654585682305 60.110888184383754, 24.692497600681516 60.11313114081252, 24.696991408260274 60.11320942559442, 24.697148088195853 60.1109664621081, 24.692654585682305 60.110888184383754))"
1,714049.0,1.37,42335137,both,714049.0,2.5,42335137,both,1.13,0.8248175182481751,"POLYGON ((24.697148088195853 60.1109664621081, 24.696991408260274 60.11320942559442, 24.70148524067499 60.11328755791183, 24.70164161553982 60.11104458738168, 24.697148088195853 60.1109664621081))"
2,716750.0,0.8500000000000001,42335907,both,716750.0,1.5,42335907,both,0.6499999999999999,0.764705882352941,"POLYGON ((24.70148524067499 60.11328755791183, 24.701328841022427 60.11553052743066, 24.70582300334938 60.11560851431306, 24.70597909787744 60.113365537763144, 24.70148524067499 60.11328755791183))"
3,719448.0,1.19,42335250,both,719448.0,2.5999999999999996,42335250,both,1.4099999999999997,1.1848739495798317,"POLYGON ((24.692340590796547 60.11537409622805, 24.692183556021845 60.11761705063034, 24.696677973875698 60.11769534953018, 24.696834703488737 60.11545238806844, 24.692340590796547 60.11537409622805))"
4,719454.0,1.24,42335912,both,719454.0,1.7,42335912,both,0.45999999999999996,0.3709677419354838,"POLYGON ((24.71930563860747 60.11584156006449, 24.7191504348857 60.11808455661785, 24.72364500109811 60.118161940541384, 24.72379989962511 60.11591893701085, 24.71930563860747 60.11584156006449))"
5,719455.0,0.8,42335143,both,719455.0,1.4700000000000002,42335143,both,0.6700000000000002,0.8375000000000001,"POLYGON ((24.72379989962511 60.11591893701085, 24.72364500109811 60.118161940541384, 24.72813959186806 60.11823917196302, 24.728294185194816 60.11599616146905, 24.72379989962511 60.11591893701085))"
6,722144.0,1.33,42335913,both,722144.0,2.23,42335913,both,0.8999999999999999,0.6766917293233081,"POLYGON ((24.674206134041725 60.11730233014579, 24.674047853587776 60.1195452551559, 24.678542476758647 60.119624171121735, 24.67870045202498 60.11738123899632, 24.674206134041725 60.11730233014579))"
7,722145.0,1.62,42335914,both,722145.0,3.4699999999999998,42335914,both,1.8499999999999996,1.141975308641975,"POLYGON ((24.67870045202498 60.11738123899632, 24.678542476758647 60.119624171121735, 24.68303712497512 60.119702934588695, 24.683194795048244 60.11745999536171, 24.67870045202498 60.11738123899632))"
8,722146.0,1.73,42335374,both,722146.0,3.29,42335374,both,1.56,0.9017341040462428,"POLYGON ((24.683194795048244 60.11745999536171, 24.68303712497512 60.119702934588695, 24.687531798188935 60.119781545555135, 24.68768916306328 60.11753859924028, 24.683194795048244 60.11745999536171))"
9,722148.0,0.73,42335227,both,722148.0,2.01,42335227,both,1.2799999999999998,1.7534246575342463,"POLYGON ((24.692183556021845 60.11761705063034, 24.69202649635185 60.11986000401932, 24.696521219415615 60.1199383099796, 24.696677973875698 60.11769534953018, 24.692183556021845 60.11761705063034))"
10,722149.0,3.26,42335468,both,722149.0,5.11,42335468,both,1.8500000000000005,0.5674846625766873,"POLYGON ((24.696677973875698 60.11769534953018, 24.696521219415615 60.1199383099796, 24.701015967331966 60.1200164634343, 24.701172416576593 60.11777349593819, 24.696677973875698 60.11769534953018))"
11,722156.0,0.65,42335305,both,722156.0,1.54,42335305,both,0.89,1.3692307692307693,"POLYGON ((24.72813959186806 60.11823917196302, 24.727984974032022 60.12048218145133, 24.732479894565245 60.120559267320125, 24.732634207147314 60.11831625088113, 24.72813959186806 60.11823917196302))"
12,724843.0,2.13,42335384,both,724843.0,3.44,42335384,both,1.31,0.6150234741784039,"POLYGON ((24.66955325551075 60.119466186692925, 24.669394644732687 60.121709103555915, 24.673889548039977 60.12178817914887, 24.674047853587776 60.1195452551559, 24.66955325551075 60.119466186692925))"
13,724844.0,2.01,42335308,both,724844.0,3.15,42335308,both,1.1400000000000001,0.5671641791044777,"POLYGON ((24.674047853587776 60.1195452551559, 24.673889548039977 60.12178817914887, 24.678384476446716 60.12186710223097, 24.678542476758647 60.119624171121735, 24.674047853587776 60.1195452551559))"
14,724852.0,0.47,42335386,both,724852.0,1.3399999999999999,42335386,both,0.8699999999999999,1.851063829787234,"POLYGON ((24.710005537529415 60.1201723128202, 24.709849674024472 60.12241529335912, 24.71434480148934 60.12249299629351, 24.714500359713995 60.12025000874806, 24.710005537529415 60.1201723128202))"
15,724853.0,3.6900000000000004,42336834,both,724853.0,6.76,42336834,both,3.0699999999999994,0.8319783197831976,"POLYGON ((24.714500359713995 60.12025000874806, 24.71434480148934 60.12249299629351, 24.71883995361927 60.12257054670188, 24.718995206558134 60.12032755216364, 24.714500359713995 60.12025000874806))"
16,724854.0,2.46,42335687,both,724854.0,3.37,42335687,both,0.9100000000000001,0.36991869918699194,"POLYGON ((24.718995206558134 60.12032755216364, 24.71883995361927 60.12257054670188, 24.723335130365985 60.12264794458259, 24.723490078013562 60.120404943065296, 24.718995206558134 60.12032755216364))"
17,724855.0,0.87,42336954,both,724855.0,1.37,42336954,both,0.5000000000000001,0.574712643678161,"POLYGON ((24.723490078013562 60.120404943065296, 24.723335130365985 60.12264794458259, 24.72783033168122 60.12272518993397, 24.727984974032022 60.12048218145133, 24.723490078013562 60.120404943065296))"
