,destination_id_YKR_1,On-site workers_1,index_YKR_1,_merge_1,destination_id_YKR_2,On-site workers_2,index_YKR_2,_merge_2,absolute_change,percentage_change,geometry
20,732945.0,7.55,42338772,both,732945.0,9.0,42338772,both,1.4500000000000002,0.19205298013245037,"POLYGON ((24.67806840066369 60.12635296140083, 24.677910325181415 60.12859588946142, 24.68240619465331 60.12867468134435, 24.68256396474932 60.12643174617831, 24.67806840066369 60.12635296140083))"
21,732949.0,0.49,42339234,both,732949.0,1.0,42339234,both,0.51,1.0408163265306123,"POLYGON ((24.696050806897624 60.12666718525384, 24.695893952993885 60.128910141653805, 24.700389922254722 60.12898832330492, 24.70054647074992 60.1267453598544, 24.696050806897624 60.12666718525384))"
22,732950.0,6.99,42341642,both,732950.0,8.0,42341642,both,1.0099999999999998,0.1444921316165951,"POLYGON ((24.70054647074992 60.1267453598544, 24.700389922254722 60.12898832330492, 24.70488591634205 60.12906635239385, 24.70504215942316 60.12682338190651, 24.70054647074992 60.1267453598544))"
23,735643.0,0.55,42342274,both,735643.0,1.0,42342274,both,0.44999999999999996,0.818181818181818,"POLYGON ((24.668918661489826 60.12843784803606, 24.668759950087264 60.130680760826365, 24.67325607479828 60.13075986494893, 24.67341448077749 60.128516945024764, 24.668918661489826 60.12843784803606))"
24,735645.0,4.57,42341875,both,735645.0,5.0,42341875,both,0.4299999999999997,0.0940919037199124,"POLYGON ((24.677910325181415 60.12859588946142, 24.67775222463117 60.13083881650571, 24.682248399537624 60.13091761549505, 24.68240619465331 60.12867468134435, 24.677910325181415 60.12859588946142))"
25,735646.0,1.67,42450745,both,735646.0,2.0,42450745,both,0.33000000000000007,0.19760479041916174,"POLYGON ((24.68240619465331 60.12867468134435, 24.682248399537624 60.13091761549505, 24.686744599469346 60.130996261915215, 24.686902089144883 60.128753320671834, 24.68240619465331 60.12867468134435))"
26,735650.0,1.69,42345430,both,735650.0,2.0,42345430,both,0.31000000000000005,0.18343195266272194,"POLYGON ((24.700389922254722 60.12898832330492, 24.700233348933033 60.131231285743965, 24.704729648482747 60.13130932187067, 24.70488591634205 60.12906635239385, 24.700389922254722 60.12898832330492))"
27,735654.0,3.71,42476772,both,735654.0,4.0,42476772,both,0.29000000000000004,0.07816711590296498,"POLYGON ((24.718374047079966 60.129299524271005, 24.718218695640974 60.13154251477879, 24.722715094035696 60.13161994058526, 24.72287013999024 60.12937694309463, 24.718374047079966 60.129299524271005))"
28,738345.0,1.14,42343926,both,738345.0,3.0,42343926,both,1.86,1.6315789473684212,"POLYGON ((24.67775222463117 60.13083881650571, 24.677594099007354 60.133081742533726, 24.682090579396675 60.13316054863043, 24.682248399537624 60.13091761549505, 24.67775222463117 60.13083881650571))"
29,738346.0,3.26,42348106,both,738346.0,5.0,42348106,both,1.7400000000000002,0.5337423312883437,"POLYGON ((24.682248399537624 60.13091761549505, 24.682090579396675 60.13316054863043, 24.686587084816846 60.133239202144246, 24.686744599469346 60.130996261915215, 24.682248399537624 60.13091761549505))"
30,738355.0,0.92,42317983,both,738355.0,1.0,42317983,both,0.07999999999999996,0.08695652173913039,"POLYGON ((24.722715094035696 60.13161994058526, 24.722560023490693 60.13386293706917, 24.72705675201414 60.1339402172615, 24.727211517020883 60.13169721380749, 24.722715094035696 60.13161994058526))"
31,738356.0,2.35,42345671,both,738356.0,3.0,42345671,both,0.6499999999999999,0.276595744680851,"POLYGON ((24.727211517020883 60.13169721380749, 24.72705675201414 60.1339402172615, 24.73155350508521 60.13401734485418, 24.73170796454821 60.13177433444384, 24.727211517020883 60.13169721380749))"
32,741042.0,5.25,42344617,both,741042.0,8.0,42344617,both,2.75,0.5238095238095238,"POLYGON ((24.664104808507645 60.13284440876331, 24.663945741244778 60.135087312367645, 24.668442451766005 60.13516658335235, 24.66860121351453 60.132923672598466, 24.664104808507645 60.13284440876331))"
33,741043.0,5.140000000000001,42345033,both,741043.0,7.0,42345033,both,1.8599999999999994,0.36186770428015547,"POLYGON ((24.66860121351453 60.132923672598466, 24.668442451766005 60.13516658335235, 24.672939187468646 60.13524570174551, 24.673097643697204 60.133002783855844, 24.66860121351453 60.132923672598466))"
34,741045.0,5.63,43220545,both,741045.0,7.0,43220545,both,1.37,0.24333925399644762,"POLYGON ((24.677594099007354 60.133081742533726, 24.67743594830437 60.13532466754546, 24.68193273422487 60.13540348075048, 24.682090579396675 60.13316054863043, 24.677594099007354 60.133081742533726))"
35,741046.0,1.01,42347997,both,741046.0,2.0,42347997,both,0.99,0.9801980198019802,"POLYGON ((24.682090579396675 60.13316054863043, 24.68193273422487 60.13540348075048, 24.686429545181806 60.135482141358914, 24.686587084816846 60.133239202144246, 24.682090579396675 60.13316054863043))"
