,absolute_change,percentage_change,CO2 kg emissions diff,geometry,origid_id_YKR_1,"CO2 emissions, gramms_1",origid_id_YKR_2,"CO2 emissions, gramms_2"
10,-1163.094048,-0.051439759,-1.163094048,"POLYGON ((24.696677973875698 60.11769534953018, 24.696521219415615 60.1199383099796, 24.701015967331966 60.1200164634343, 24.701172416576593 60.11777349593819, 24.696677973875698 60.11769534953018))",722149,22610.79875,722149,21447.70471
11,-162.913842,-0.171933222,-0.162913842,"POLYGON ((24.7191504348857 60.11808455661785, 24.718995206558134 60.12032755216364, 24.723490078013562 60.120404943065296, 24.72364500109811 60.118161940541384, 24.7191504348857 60.11808455661785))",722154,947.541378,722154,784.627536
12,-1250.431689,-0.245116693,-1.250431689,"POLYGON ((24.72813959186806 60.11823917196302, 24.727984974032022 60.12048218145133, 24.732479894565245 60.120559267320125, 24.732634207147314 60.11831625088113, 24.72813959186806 60.11823917196302))",722156,5101.373043,722156,3850.941354
13,1853.84997,1.38305763,1.85384997,"POLYGON ((24.732634207147314 60.11831625088113, 24.732479894565245 60.120559267320125, 24.736974839564965 60.12063620066997, 24.737128846887597 60.11839317729404, 24.732634207147314 60.11831625088113))",722157,1340.399655,722157,3194.249625
14,-2385.48875,-0.400873629,-2.38548875,"POLYGON ((24.66955325551075 60.119466186692925, 24.669394644732687 60.121709103555915, 24.673889548039977 60.12178817914887, 24.674047853587776 60.1195452551559, 24.66955325551075 60.119466186692925))",724843,5950.725062,724843,3565.236312
15,-1497.291768,-0.212583,-1.497291768,"POLYGON ((24.674047853587776 60.1195452551559, 24.673889548039977 60.12178817914887, 24.678384476446716 60.12186710223097, 24.678542476758647 60.119624171121735, 24.674047853587776 60.1195452551559))",724844,7043.327863,724844,5546.036095
16,366.7910671,0.055991705,0.366791067,"POLYGON ((24.710005537529415 60.1201723128202, 24.709849674024472 60.12241529335912, 24.71434480148934 60.12249299629351, 24.714500359713995 60.12025000874806, 24.710005537529415 60.1201723128202))",724852,6550.810782,724852,6917.601849
17,-7258.486245,-0.373223412,-7.258486245,"POLYGON ((24.714500359713995 60.12025000874806, 24.71434480148934 60.12249299629351, 24.71883995361927 60.12257054670188, 24.718995206558134 60.12032755216364, 24.714500359713995 60.12025000874806))",724853,19448.10002,724853,12189.61378
18,-1997.537597,-0.362403217,-1.997537597,"POLYGON ((24.718995206558134 60.12032755216364, 24.71883995361927 60.12257054670188, 24.723335130365985 60.12264794458259, 24.723490078013562 60.120404943065296, 24.718995206558134 60.12032755216364))",724854,5511.920159,724854,3514.382562
19,4.50252726,0.001499127,0.004502527,"POLYGON ((24.723490078013562 60.120404943065296, 24.723335130365985 60.12264794458259, 24.72783033168122 60.12272518993397, 24.727984974032022 60.12048218145133, 24.723490078013562 60.120404943065296))",724855,3003.433294,724855,3007.935821
20,-3346.994945,-0.332598867,-3.346994945,"POLYGON ((24.732479894565245 60.120559267320125, 24.73232555751668 60.122802282754385, 24.736820807824106 60.12287922304215, 24.736974839564965 60.12063620066997, 24.732479894565245 60.120559267320125))",724857,10063.158,724857,6716.163053
21,-587.7320102,-0.076455445,-0.58773201,"POLYGON ((24.664899766573104 60.12162987545378, 24.664740825374434 60.123872784153995, 24.669236008806926 60.123952019400804, 24.669394644732687 60.121709103555915, 24.664899766573104 60.12162987545378))",727542,7687.248556,727542,7099.516546
22,1083.95758,2.035281084,1.08395758,"POLYGON ((24.669394644732687 60.121709103555915, 24.669236008806926 60.123952019400804, 24.673731217392735 60.12403110212471, 24.673889548039977 60.12178817914887, 24.669394644732687 60.121709103555915))",727543,532.5837242,727543,1616.541304
23,-4482.114789,-0.243764333,-4.482114789,"POLYGON ((24.673889548039977 60.12178817914887, 24.673731217392735 60.12403110212471, 24.678226451083592 60.12411003232402, 24.678384476446716 60.12186710223097, 24.673889548039977 60.12178817914887))",727544,18387.08206,727544,13904.96727
24,-1012.227315,-0.169622749,-1.012227315,"POLYGON ((24.678384476446716 60.12186710223097, 24.678226451083592 60.12411003232402, 24.682721709831235 60.12418880999704, 24.68287942990464 60.12194587280048, 24.678384476446716 60.12186710223097))",727545,5967.520988,727545,4955.293673
25,-7862.911501,-0.357431356,-7.862911501,"POLYGON ((24.709849674024472 60.12241529335912, 24.70969378580619 60.124658272888595, 24.71418921859962 60.12473598283045, 24.71434480148934 60.12249299629351, 24.709849674024472 60.12241529335912))",727552,21998.38195,727552,14135.47045
26,-4657.171464,-0.370720996,-4.657171464,"POLYGON ((24.736820807824106 60.12287922304215, 24.736666751659566 60.12512224441054, 24.741162331752104 60.12519903908913, 24.741316082555205 60.12295601079561, 24.736820807824106 60.12287922304215))",727558,12562.47019,727558,7905.298724
